surah_id,verse_number,local_transliteration,ref1_transliteration,ref2_transliteration,char_similarity_ref1,char_similarity_ref2,token_similarity_ref1,token_similarity_ref2,flagged
1,1,Bis'mi l-lahi r-raḥmāni r-raḥīm,Bismillaahir Rahmaanir Raheem,Bismi Allahi arrahmani arraheem,0.8333,0.8387,0.0,0.0,N
1,2,Al-ḥamdu lillahi rabbi l-ʿālamīn,Alhamdu lillaahi Rabbil 'aalameen,Alhamdu lillahi rabbi alAAalameen,0.875,0.8615,0.0,0.25,N
1,3,Ar-raḥmāni r-raḥīm,Ar-Rahmaanir-Raheem,Arrahmani arraheem,0.8649,0.8333,0.1667,0.0,N
1,4,Māliki yawmi d-dīn,Maaliki Yawmid-Deen,Maliki yawmi addeen,0.8649,0.8649,0.0,0.4,N
1,5,Iyyāka naʿbudu wa-iyyāka nastaʿīn,Iyyaaka na'budu wa lyyaaka nasta'een,Iyyaka naAAbudu wa-iyyaka nastaAAeen,0.8406,0.8696,0.1,0.3333,N
1,6,Ih'dinā ṣ-ṣirāṭa l-mus'taqīm,Ihdinas-Siraatal-Mustaqeem,Ihdina assirata almustaqeem,0.8519,0.8364,0.0,0.0,N
1,7,Ṣirāṭa alladhīna anʿamta ʿalayhim ghayri l-maghḍūbi ʿalayhim walā ḍ-ḍālīn,Siraatal-lazeena an'amta 'alaihim ghayril-maghdoobi 'alaihim wa lad-daaalleen,Sirata allatheena anAAamta AAalayhim ghayri almaghdoobi AAalayhim wala addalleen,0.6486,0.8366,0.0,0.2,N
2,1,Alif-lam-meem,Alif-Laaam-Meeem,Alif-lam-meem,0.8966,1.0,0.2,1.0,N
2,2,Dhālika l-kitābu lā rayba fīhi hudal-lil'muttaqīn,Zaalikal Kitaabu laa raiba feeh; udal lilmuttaqeen,Thalika alkitabu larayba feehi hudan lilmuttaqeen,0.8163,0.8571,0.0,0.0,N
2,3,Alladhīna yu'minūna bil-ghaybi wayuqīmūna ṣ-ṣalata wamimmā razaqnāhum yunfiqūn,Allazeena yu'minoona bilghaibi wa yuqeemoonas salaata wa mimmaa razaqnaahum yunfiqoon,Allatheena yu/minoona bilghaybiwayuqeemoona assalata wamimma razaqnahumyunfiqoon,0.8344,0.8608,0.05,0.125,N
2,4,Wa-alladhīna yu'minūna bimā unzila ilayka wamā unzila min qablika wabil-ākhirati hum yūqinūn,Wallazeena yu'minoona bimaa unzila ilaika wa maaa unzila min qablika wa bil Aakhirati hum yooqinoon,Wallatheena yu/minoona bimaonzila ilayka wama onzila min qablika wabil-akhiratihum yooqinoon,0.8691,0.8804,0.2727,0.3,N
2,5,Ulāika ʿalā hudam-min rabbihim wa-ulāika humu l-muf'liḥūn,Ulaaa'ika 'alaa hudam mir rabbihim wa ulaaa'ika humul muflihoon,Ola-ika AAala hudan minrabbihim waola-ika humu almuflihoon,0.8739,0.8348,0.1875,0.0588,N
2,6,Inna alladhīna kafarū sawāon ʿalayhim a-andhartahum am lam tundhir'hum lā yu'minūn,Innal lazeena kafaroo sawaaa'un 'alaihim 'a-anzar tahum am lam tunzirhum laa yu'minoon,Inna allatheena kafaroo sawaonAAalayhim aanthartahum am lam tunthirhum layu/minoon,0.8072,0.8659,0.16,0.1429,N
2,7,Khatama l-lahu ʿalā qulūbihim waʿalā samʿihim waʿalā abṣārihim ghishāwatuw-walahum ʿadhābun ʿaẓīmun,Khatamal laahu 'alaa quloobihim wa 'alaa sam'i-him wa 'alaaa absaarihim ghishaa watunw wa lahum 'azaabun 'azeem,Khatama Allahu AAala quloobihimwaAAala samAAihim waAAala absarihim ghishawatunwalahum AAathabun AAatheem,0.839,0.7094,0.0,0.1,N
2,8,Wamina n-nāsi may-yaqūlu āmannā bil-lahi wabil-yawmi l-ākhiri wamā hum bimu'minīn,Wa minan naasi mai yaqoolu aamannaa billaahi wa bil yawmil aakhiri wa maa hum bimu'mineen,Wamina annasi man yaqoolu amannabiAllahi wabilyawmi al-akhiri wamahum bimu/mineen,0.8824,0.9012,0.1111,0.125,N
2,9,Yukhādiʿūna l-laha wa-alladhīna āmanū wamā yakhdaʿūna illā anfusahum wamā yashʿurūn,Yukhaadi'oonal laaha wallazeena aamanoo wa maa yakhda'oona illaaa anfusahum wa maa yash'uroon,YukhadiAAoona Allaha wallatheenaamanoo wama yakhdaAAoona illa anfusahum wamayashAAuroon,0.7955,0.8118,0.0909,0.1875,N
2,10,Fī qulūbihim maraḍun fazādahumu l-lahu maraḍaw-walahum ʿadhābun alīmun bimā kānū yakdhibūn,Fee quloobihim mara dun fazzdahumul laahu maradan wa lahum 'azaabun aleemum bimaa kaanoo yakziboon,Fee quloobihim maradun fazadahumuAllahu maradan walahum AAathabun aleemun bimakanoo yakthiboon,0.8128,0.8478,0.0,0.0952,N
2,11,Wa-idhā qīla lahum lā tuf'sidū fī l-arḍi qālū innamā naḥnu muṣ'liḥūn,Wa izaa qeela lahum laa tufsidoo fil ardi qaalo innamaa nahnu muslihoon,Wa-itha qeela lahum latufsidoo fee al-ardi qaloo innama nahnumuslihoon,0.8489,0.8406,0.1739,0.1818,N
2,12,Alā innahum humu l-muf'sidūna walākil-lā yashʿurūn,Alaaa innahum humul mufsidoona wa laakil laa yash'uroon,Ala innahum humu almufsidoona walakinla yashAAuroon,0.8571,0.8515,0.0588,0.25,N
2,13,Wa-idhā qīla lahum āminū kamā āmana n-nāsu qālū anu'minu kamā āmana s-sufahāu alā innahum humu s-sufahāu walākil-lā yaʿlamūn,Wa izaa qeela lahum aaminoo kamaaa aamanan naasu qaalooo anu'minu kamaaa aamanas sufahaaa'; alaaa innahum humus sufahaaa'u wa laakil laa ya'lamoon,Wa-itha qeela lahum aminoo kamaamana annasu qaloo anu/minu kamaamana assufahao ala innahum humu assufahaowalakin la yaAAlamoon,0.8433,0.872,0.1389,0.2759,N
2,14,Wa-idhā laqū alladhīna āmanū qālū āmannā wa-idhā khalaw ilā shayāṭīnihim qālū innā maʿakum innamā naḥnu mus'tahziūn,Wa izaa laqul lazeena aamanoo qaalooo aamannaa wa izaa khalw ilaa shayaateenihim qaalooo innaa ma'akum innamaa nahnu mustahzi'oon,Wa-itha laqoo allatheena amanooqaloo amanna wa-itha khalaw ilashayateenihim qaloo inna maAAakum innamanahnu mustahzi-oon,0.8033,0.8511,0.0645,0.1538,N
