surah,verse,local,ref1,ref2,arabic,raw_best_similarity,sn_sim_ref1,sn_sim_ref2,style_normalized_similarity,classification
2,25,Wabashiri alladhīna āmanū waʿamilū ṣ-ṣāliḥāti anna lahum jannātin tajrī min taḥtihā l-anhāru kullamā ruziqū min'hā min thamaratir-riz'qan qālū hādhā alladhī ruziq'nā min qablu wa-utū bihi mutashābihaw-walahum fīhā azwājum-muṭahharatun wahum fīhā khālidūn,"Wa bashshiril lazeena aamanoo wa 'amilus saalihaati anna lahum jannaatin tajree min tahtihal anhaaru kullamaa riziqoo minhaa min samaratir rizqan qaaloo haazal lazee ruziqnaa min qablu wa utoo bihee mutashaabihaa, wa lahum feehaaa azwaajum mutahhara tunw wa hum feehaa khaalidoon",Wabashshiri allatheena amanoowaAAamiloo assalihati anna lahum jannatintajree min tahtiha al-anharu kullamaruziqoo minha min thamaratin rizqan qaloo hathaallathee ruziqna min qablu waotoo bihi mutashabihanwalahum feeha azwajun mutahharatun wahumfeeha khalidoon,وَبَشِّرِ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٍۢ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَٰرُ ۖ كُلَّمَا رُزِقُوا۟ مِنْهَا مِن ثَمَرَةٍۢ رِّزْقًۭا ۙ قَالُوا۟ هَٰذَا ٱلَّذِى رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا۟ بِهِۦ مُتَشَٰبِهًۭا ۖ وَلَهُمْ فِيهَآ أَزْوَٰجٌۭ مُّطَهَّرَةٌۭ ۖ وَهُمْ فِيهَا خَٰلِدُونَ,0.0273,0.0113,0.0273,0.0273,REAL_ERROR
2,26,Inna l-laha lā yastaḥyī ay-yaḍriba mathalam-mā baʿūḍatan famā fawqahā fa-ammā alladhīna āmanū fayaʿlamūna annahu l-ḥaqu mir-rabbihim wa-ammā alladhīna kafarū fayaqūlūna mādhā arāda l-lahu bihādhā mathalay-yuḍillu bihi kathīraw-wayahdī bihi kathīraw-wamā yuḍillu bihi illā l-fāsiqīn,Innal laaha laa yastahyeee ai yadriba masalam maa ba'oodatan famaa fawqahaa; faammal lazeena aamanoo faya'lamoona annahul haqqu mir rabbihim wa ammal lazeena kafaroo fayaqooloona maazaaa araadal laahu bihaazaa masalaa; yudillu bihee kaseeranw wa yahdee bihee kaseeraa; wa maa yudillu biheee illal faasiqeen,Inna Allaha la yastahyeean yadriba mathalan ma baAAoodatan famafawqaha faamma allatheena amanoofayaAAlamoona annahu alhaqqu min rabbihim waammaallatheena kafaroo fayaqooloona matha aradaAllahu bihatha mathalan yudillu bihikatheeran wayahdee bihi katheeran wama yudillu bihiilla alfasiqeen,۞ إِنَّ ٱللَّهَ لَا يَسْتَحْىِۦٓ أَن يَضْرِبَ مَثَلًۭا مَّا بَعُوضَةًۭ فَمَا فَوْقَهَا ۚ فَأَمَّا ٱلَّذِينَ ءَامَنُوا۟ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا ٱلَّذِينَ كَفَرُوا۟ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلًۭا ۘ يُضِلُّ بِهِۦ كَثِيرًۭا وَيَهْدِى بِهِۦ كَثِيرًۭا ۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلْفَٰسِقِينَ,0.1652,0.0993,0.1652,0.1652,REAL_ERROR
2,30,Wa-idh qāla rabbuka lil'malāikati innī jāʿilun fī l-arḍi khalīfatan qālū atajʿalu fīhā may-yuf'sidu fīhā wayasfiku d-dimāa wanaḥnu nusabbiḥu biḥamdika wanuqaddisu laka qāla innī aʿlamu mā lā taʿlamūn,Wa iz qaala rabbuka lil malaaa'ikati innee jaa'ilun fil ardi khaleefatan qaalooo ataj'alu feehaa mai yufsidu feehaa wa yasfikud dimaaa'a wa nahnu nusabbihu bihamdika wa nuqaddisu laka qaala inneee a'lamu maa laa ta'lamoon,Wa-ith qala rabbuka lilmala-ikatiinnee jaAAilun fee al-ardi khaleefatan qalooatajAAalu feeha man yufsidu feeha wayasfiku addimaawanahnu nusabbihu bihamdika wanuqaddisu lakaqala innee aAAlamu ma la taAAlamoon,وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰٓئِكَةِ إِنِّى جَاعِلٌۭ فِى ٱلْأَرْضِ خَلِيفَةًۭ ۖ قَالُوٓا۟ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّىٓ أَعْلَمُ مَا لَا تَعْلَمُونَ,0.219,0.2476,0.2069,0.2476,REAL_ERROR
2,54,Wa-idh qāla mūsā liqawmihi yāqawmi innakum ẓalamtum anfusakum bi-ittikhādhikumu l-ʿij'la fatūbū ilā bāri-ikum fa-uq'tulū anfusakum dhālikum khayrul-lakum ʿinda bāri-ikum fatāba ʿalaykum innahu huwa t-tawābu r-raḥīm,Wa iz qaala Moosaa liqawmihee yaa qawmi innakum zalamtum anfusakum bittikhaa zikumul 'ijla fatoobooo ilaa Baari'ikum faqtulooo anfusakum zaalikum khairul lakum 'inda Baari'ikum fataaba 'alaikum; innahoo Huwat Tawwaabur Raheem,Wa-ith qala moosaliqawmihi ya qawmi innakum thalamtumanfusakum bittikhathikumu alAAijla fatooboo ilabari-ikum faqtuloo anfusakum thalikumkhayrun lakum AAinda bari-ikum fataba AAalaykuminnahu huwa attawwabu arraheem,وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِۦ يَٰقَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُم بِٱتِّخَاذِكُمُ ٱلْعِجْلَ فَتُوبُوٓا۟ إِلَىٰ بَارِئِكُمْ فَٱقْتُلُوٓا۟ أَنفُسَكُمْ ذَٰلِكُمْ خَيْرٌۭ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ ۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,0.028,0.0231,0.0282,0.0282,REAL_ERROR
2,60,Wa-idhi is'tasqā mūsā liqawmihi faqul'nā iḍ'rib biʿaṣāka l-ḥajara fa-infajarat min'hu ith'natā ʿashrata ʿaynan qad ʿalima kullu unāsim-mashrabahum kulū wa-ish'rabū mir-riz'qi l-lahi walā taʿthaw fī l-arḍi muf'sidīn,Wa izis tasqaa Moosaa liqawmihee faqulnad rib bi'asaakal hajara fanfajarat minhusnataaa 'ashrata 'aynan qad 'alima kullu unaasim mash rabahum kuloo washraboo mir rizqil laahi wa laa ta'saw fil ardi mufsideen,Wa-ithi istasqa moosaliqawmihi faqulna idrib biAAasaka alhajarafanfajarat minhu ithnata AAashrata AAaynan qadAAalima kullu onasin mashrabahum kuloo washraboomin rizqi Allahi wala taAAthaw fee al-ardimufsideen,۞ وَإِذِ ٱسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِۦ فَقُلْنَا ٱضْرِب بِّعَصَاكَ ٱلْحَجَرَ ۖ فَٱنفَجَرَتْ مِنْهُ ٱثْنَتَا عَشْرَةَ عَيْنًۭا ۖ قَدْ عَلِمَ كُلُّ أُنَاسٍۢ مَّشْرَبَهُمْ ۖ كُلُوا۟ وَٱشْرَبُوا۟ مِن رِّزْقِ ٱللَّهِ وَلَا تَعْثَوْا۟ فِى ٱلْأَرْضِ مُفْسِدِينَ,0.3541,0.4048,0.3294,0.4048,REAL_ERROR
2,61,Wa-idh qul'tum yāmūsā lan-naṣbira ʿalā ṭaʿāmiw-wāḥidin fa-ud'ʿu lanā rabbaka yukh'rij lanā mimmā tunbitu l-arḍu min baqlihā waqithāihā wafūmihā waʿadasihā wabaṣalihā qāla atastabdilūna alladhī huwa adnā bi-alladhī huwa khayrun ih'biṭū miṣ'ran fa-inna lakum mā sa-altum waḍuribat ʿalayhimu dh-dhilatu wal-maskanatu wabāū bighaḍabim-mina l-lahi dhālika bi-annahum kānū yakfurūna biāyāti l-lahi wayaqtulūna n-nabiyīna bighayri l-ḥaqi dhālika bimā ʿaṣaw wakānū yaʿtadūn,Wa iz qultum yaa Moosaa lan nasbira 'alaa ta'aaminw waahidin fad'u lanaa rabbaka yukhrij lanaa mimmaa tumbitul ardu mimbaqlihaa wa qis saaa'ihaa wa foomihaa wa 'adasihaa wa basalihaa qaala atastabdiloonal lazee huwa adnaa billazee huwa khayr; ihbitoo misran fa inna lakum maa sa altum; wa duribat 'alaihimuz zillatu walmaskanatu wa baaa'oo bighadabim minal laah; zaalika bi annahum kaano yakfuroona bi aayaatil laahi wa yaqtuloonan Nabiyyeena bighairil haqq; zaalika bimaa 'asaw wa kaanoo ya'tadoon,Wa-ith qultum ya moosalan nasbira AAala taAAamin wahidinfadAAu lana rabbaka yukhrij lana mimmatunbitu al-ardu min baqliha waqiththa-ihawafoomiha waAAadasiha wabasaliha qalaatastabdiloona allathee huwa adna billatheehuwa khayrun ihbitoo misran fa-inna lakum masaaltum waduribat AAalayhimu aththillatu walmaskanatuwabaoo bighadabin mina Allahi thalikabi-annahum kanoo yakfuroona bi-ayati Allahiwayaqtuloona annabiyyeena bighayri alhaqqi thalikabima AAasaw wakanoo yaAAtadoon,وَإِذْ قُلْتُمْ يَٰمُوسَىٰ لَن نَّصْبِرَ عَلَىٰ طَعَامٍۢ وَٰحِدٍۢ فَٱدْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنۢبِتُ ٱلْأَرْضُ مِنۢ بَقْلِهَا وَقِثَّآئِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا ۖ قَالَ أَتَسْتَبْدِلُونَ ٱلَّذِى هُوَ أَدْنَىٰ بِٱلَّذِى هُوَ خَيْرٌ ۚ ٱهْبِطُوا۟ مِصْرًۭا فَإِنَّ لَكُم مَّا سَأَلْتُمْ ۗ وَضُرِبَتْ عَلَيْهِمُ ٱلذِّلَّةُ وَٱلْمَسْكَنَةُ وَبَآءُو بِغَضَبٍۢ مِّنَ ٱللَّهِ ۗ ذَٰلِكَ بِأَنَّهُمْ كَانُوا۟ يَكْفُرُونَ بِـَٔايَٰتِ ٱللَّهِ وَيَقْتُلُونَ ٱلنَّبِيِّۦنَ بِغَيْرِ ٱلْحَقِّ ۗ ذَٰلِكَ بِمَا عَصَوا۟ وَّكَانُوا۟ يَعْتَدُونَ,0.1537,0.1535,0.1543,0.1543,REAL_ERROR
2,74,Thumma qasat qulūbukum min baʿdi dhālika fahiya kal-ḥijārati aw ashaddu qaswataw-wa-inna mina l-ḥijārati lamā yatafajjaru min'hu l-anhāru wa-inna min'hā lamā yashaqqaqu fayakhruju min'hu l-māu wa-inna min'hā lamā yahbiṭu min khashyati l-lahi wamā l-lahu bighāfilin ʿammā taʿmalūn,Summa qasat quloobukum mim ba'di zaalika fahiya kalhijaarati aw-ashaadu qaswah; wa inna minal hijaarati lamaa yatafajjaru minhul anhaar; wa inna minhaa lamaa yash shaqqaqu fayakhruju minhul maaa'; wa inna minhaa lamaa yahbitu min khashyatil laa; wa mal laahu bighaafilin 'ammaa ta'maloon,Thumma qasat quloobukum min baAAdi thalikafahiya kalhijarati aw ashaddu qaswatanwa-inna mina alhijarati lama yatafajjaruminhu al-anharu wa-inna minha lamayashshaqqaqu fayakhruju minhu almao wa-inna minhalama yahbitu min khashyati Allahi wamaAllahu bighafilin AAamma taAAmaloon,ثُمَّ قَسَتْ قُلُوبُكُم مِّنۢ بَعْدِ ذَٰلِكَ فَهِىَ كَٱلْحِجَارَةِ أَوْ أَشَدُّ قَسْوَةًۭ ۚ وَإِنَّ مِنَ ٱلْحِجَارَةِ لَمَا يَتَفَجَّرُ مِنْهُ ٱلْأَنْهَٰرُ ۚ وَإِنَّ مِنْهَا لَمَا يَشَّقَّقُ فَيَخْرُجُ مِنْهُ ٱلْمَآءُ ۚ وَإِنَّ مِنْهَا لَمَا يَهْبِطُ مِنْ خَشْيَةِ ٱللَّهِ ۗ وَمَا ٱللَّهُ بِغَٰفِلٍ عَمَّا تَعْمَلُونَ,0.2234,0.0608,0.2274,0.2274,REAL_ERROR
2,83,Wa-idh akhadhnā mīthāqa banī is'rāīla lā taʿbudūna illā l-laha wabil-wālidayni iḥ'sānaw-wadhī l-qur'bā wal-yatāmā wal-masākīni waqūlū lilnnāsi ḥus'naw-wa-aqīmū ṣ-ṣalata waātū z-zakata thumma tawallaytum illā qalīlam-minkum wa-antum muʿ'riḍūn,Wa iz akhaznaa meesaaqa Baneee Israaa'eela laa ta'budoona illal laaha wa bil waalidaini ihsaananw wa zil qurbaa walyataamaa walmasaakeeni wa qooloo linnaasi husnanw wa aqeemus salaata wa aatuzZakaata summa tawallitum illaa qaleelam minkum wa antum mu'ridoon,Wa-ith akhathna meethaqabanee isra-eela la taAAbudoona illa Allahawabilwalidayni ihsanan watheealqurba walyatama walmasakeeniwaqooloo linnasi husnan waaqeemoo assalatawaatoo azzakata thumma tawallaytum illaqaleelan minkum waantum muAAridoon,وَإِذْ أَخَذْنَا مِيثَٰقَ بَنِىٓ إِسْرَٰٓءِيلَ لَا تَعْبُدُونَ إِلَّا ٱللَّهَ وَبِٱلْوَٰلِدَيْنِ إِحْسَانًۭا وَذِى ٱلْقُرْبَىٰ وَٱلْيَتَٰمَىٰ وَٱلْمَسَٰكِينِ وَقُولُوا۟ لِلنَّاسِ حُسْنًۭا وَأَقِيمُوا۟ ٱلصَّلَوٰةَ وَءَاتُوا۟ ٱلزَّكَوٰةَ ثُمَّ تَوَلَّيْتُمْ إِلَّا قَلِيلًۭا مِّنكُمْ وَأَنتُم مُّعْرِضُونَ,0.0333,0.0322,0.0333,0.0333,REAL_ERROR
2,85,Thumma antum hāulāi taqtulūna anfusakum watukh'rijūna farīqam-minkum min diyārihim taẓāharūna ʿalayhim bil-ith'mi wal-ʿud'wāni wa-iy-yatūkum usārā tufādūhum wahuwa muḥarramun ʿalaykum ikh'rājuhum afatu'minūna bibaʿḍi l-kitābi watakfurūna bibaʿḍin famā jazāu may-yafʿalu dhālika minkum illā khiz'yun fī l-ḥayati d-dun'yā wayawma l-qiyāmati yuraddūna ilā ashaddi l-ʿadhābi wamā l-lahu bighāfilin ʿammā taʿmalūn,Summa antum haaa'ulaaa'i taqtuloona anfusakum wa tukhrijoona fareeqam minkum min diyaarihim tazaaharoona 'alaihim bil ismi wal'udwaani wa iny yaatookum usaaraa tufaadoohum wahuwa muharramun 'alaikum ikhraajuhum; afatu' mi-noona biba'dil Kitaabi wa takfuroona biba'd; famaa jazaaa'u mai yaf'alu zaalika minkum illaa khizyun fil hayaatid-dunyaa wa yawmal qiyaamati yuraddoona ilaaa ashaddil 'azaab; wa mal laahu bighaafilin 'ammaa ta'maloon,Thumma antum haola-itaqtuloona anfusakum watukhrijoona fareeqan minkum min diyarihimtathaharoona AAalayhim bil-ithmi walAAudwaniwa-in ya/tookum osara tufadoohum wahuwa muharramunAAalaykum ikhrajuhum afatu/minoona bibaAAdi alkitabiwatakfuroona bibaAAdin fama jazao manyafAAalu thalika minkum illa khizyun fee alhayatiaddunya wayawma alqiyamati yuraddoona ilaashaddi alAAathabi wama Allahu bighafilinAAamma taAAmaloon,ثُمَّ أَنتُمْ هَٰٓؤُلَآءِ تَقْتُلُونَ أَنفُسَكُمْ وَتُخْرِجُونَ فَرِيقًۭا مِّنكُم مِّن دِيَٰرِهِمْ تَظَٰهَرُونَ عَلَيْهِم بِٱلْإِثْمِ وَٱلْعُدْوَٰنِ وَإِن يَأْتُوكُمْ أُسَٰرَىٰ تُفَٰدُوهُمْ وَهُوَ مُحَرَّمٌ عَلَيْكُمْ إِخْرَاجُهُمْ ۚ أَفَتُؤْمِنُونَ بِبَعْضِ ٱلْكِتَٰبِ وَتَكْفُرُونَ بِبَعْضٍۢ ۚ فَمَا جَزَآءُ مَن يَفْعَلُ ذَٰلِكَ مِنكُمْ إِلَّا خِزْىٌۭ فِى ٱلْحَيَوٰةِ ٱلدُّنْيَا ۖ وَيَوْمَ ٱلْقِيَٰمَةِ يُرَدُّونَ إِلَىٰٓ أَشَدِّ ٱلْعَذَابِ ۗ وَمَا ٱللَّهُ بِغَٰفِلٍ عَمَّا تَعْمَلُونَ,0.2434,0.2449,0.1565,0.2449,REAL_ERROR
2,87,Walaqad ātaynā mūsā l-kitāba waqaffaynā min baʿdihi bil-rusuli waātaynā ʿīsā ib'na maryama l-bayināti wa-ayyadnāhu birūḥi l-qudusi afakullamā jāakum rasūlun bimā lā tahwā anfusukumu is'takbartum fafarīqan kadhabtum wafarīqan taqtulūn,Wa laqad aatainaa Moosal Kitaaba wa qaffainaa mim ba'dihee bir Rusuli wa aatainaa 'Eesab-na-Maryamal baiyinaati wa ayyadnaahu bi Roohil Qudus; afakullamaa jaaa'akum Rasoolum bimaa laa tahwaaa anfusukumus takbartum fafareeqan kazzabtum wa fareeqan taqtuloon,Walaqad atayna moosaalkitaba waqaffayna min baAAdihi birrusuliwaatayna AAeesa ibna maryama albayyinatiwaayyadnahu biroohi alqudusi afakullama jaakumrasoolun bima la tahwa anfusukumuistakbartum fafareeqan kaththabtum wafareeqan taqtuloon,وَلَقَدْ ءَاتَيْنَا مُوسَى ٱلْكِتَٰبَ وَقَفَّيْنَا مِنۢ بَعْدِهِۦ بِٱلرُّسُلِ ۖ وَءَاتَيْنَا عِيسَى ٱبْنَ مَرْيَمَ ٱلْبَيِّنَٰتِ وَأَيَّدْنَٰهُ بِرُوحِ ٱلْقُدُسِ ۗ أَفَكُلَّمَا جَآءَكُمْ رَسُولٌۢ بِمَا لَا تَهْوَىٰٓ أَنفُسُكُمُ ٱسْتَكْبَرْتُمْ فَفَرِيقًۭا كَذَّبْتُمْ وَفَرِيقًۭا تَقْتُلُونَ,0.1706,0.0288,0.1709,0.1709,REAL_ERROR
